,FQ_District,MSME_Count,District,State-Code
0,Chennai-TN,342280,Chennai,TN
1,Chengalpattu-TN,72994,Chengalpattu,TN
2,Kannur-KL,53044,Kannur,KL
3,Chitradurga-KA,31562,Chitradurga,KA
4,Krishnagiri-TN,89279,Krishnagiri,TN
5,Mirzapur-UP,30144,Mirzapur,UP
6,Varanasi-UP,105543,Varanasi,UP
7,BengaluruUrban-KA-2025Feb27,467465,BengaluruUrban,KA
8,Chamarajnagar-KA,18446,Chamarajnagar,KA
9,Tenkasi-TN,34589,Tenkasi,TN
10,Cuddalore-TN,85148,Cuddalore,TN
11,Dehradun-Uttarakhand,87666,Dehradun,Uttarakhand
12,Mandya-KA,39959,Mandya,KA
13,Ballari-KA,42620,Ballari,KA
14,Chikballapur-KA,29467,Chikballapur,KA
15,Dharwad-KA,69883,Dharwad,KA
16,Firozepur-PB,34044,Firozepur,PB
17,Chikkamagaluru-KA,27491,Chikkamagaluru,KA
18,Wayanad-KL,19520,Wayanad,KL
19,Mysuru-KA,97162,Mysuru,KA
20,Davangere-KA,43831,Davangere,KA
21,Villupuram-TN,69604,Villupuram,TN
22,MumbaiSuburban-MH,300000,MumbaiSuburban,MH
23,Bagalkot-KA,42574,Bagalkot,KA
24,Kolar-KA,34230,Kolar,KA
25,Pune-MH,140000,Pune,MH
26,Tumkuru-KA,64193,Tumkuru,KA
27,DakshinaKannada-KA,71103,DakshinaKannada,KA
28,Vellore-TN,82868,Vellore,TN
29,Ramanagara-KA-2025Feb17,31030,Ramanagara,KA
30,BengaluruRural-KA,86739,BengaluruRural,KA
31,Hassan-KA,45216,Hassan,KA
32,Udupi-KA,43142,Udupi,KA
33,Hoshangabad-MP,23703,Hoshangabad,MP
34,Mumbai-MH,317477,Mumbai,MH
35,Shivamogga-KA,49626,Shivamogga,KA
36,Kasargod-KL,25621,Kasargod,KL
