,CHENNAI,Chengalpattu,KANNUR,CHITRADURGA,KRISHNAGIRI,MIRZAPUR,VARANASI,BENGALURU (URBAN),CHAMARAJNAGAR,Tenkasi,CUDDALORE,DEHRADUN,MANDYA,BALLARI,CHIKBALLAPUR,DHARWAD,FIROZEPUR,CHIKKAMAGALURU,WAYANAD,MYSURU,DAVANGERE,VILLUPURAM,MUMBAI SUBURBAN,BAGALKOT,KOLAR,PUNE,TUMAKURU,DAKSHIN KANNAD,VELLORE,RAMANAGARA,BENGALURU (RURAL),HASSAN,UDUPI,HOSHANGABAD,MUMBAI ,SHIVAMOGGA,KASARAGOD
46512,168,33,28,15,43,15,52,192,11,16,40,43,20,21,15,33,16,15,11,46,20,33,151,21,16,70,33,33,40,15,42,22,21,13,160,22,15
47413,110,28,24,12,30,11,38,133,9,14,29,30,16,16,11,28,13,10,9,34,15,28,95,16,14,48,28,28,29,11,29,17,16,10,105,21,10
58201,355,98,73,40,113,37,131,393,22,42,110,112,51,54,35,92,42,33,22,123,58,92,320,54,42,166,85,95,108,39,110,61,55,29,332,68,29
62011,1465,310,215,132,390,128,463,1752,84,136,367,385,159,169,125,284,134,116,92,428,179,281,1301,169,134,610,267,294,356,131,376,184,175,107,1364,200,112
62012,1306,260,177,100,337,97,391,1543,67,110,321,331,130,138,92,239,108,89,73,367,140,238,1158,138,108,519,224,249,306,99,326,148,142,80,1221,162,86
62013,2430,510,360,209,674,201,786,2787,139,224,625,658,262,287,198,480,219,188,144,739,300,479,2162,286,221,985,449,491,601,204,646,317,294,166,2261,341,178
62020,2075,427,303,175,549,170,651,2575,103,187,518,540,220,241,168,407,187,156,110,609,248,404,1832,240,187,845,378,417,503,173,530,265,245,131,1927,283,145
62091,1261,270,197,110,356,107,421,1449,76,117,338,347,136,147,104,257,115,102,78,396,151,256,1129,148,116,519,238,263,320,110,341,163,151,92,1169,182,97
62092,194,31,24,12,44,11,50,231,8,12,39,43,15,18,11,29,12,10,8,47,18,29,174,18,12,62,28,30,37,12,40,21,19,8,179,22,9
62099,5016,1022,707,403,1318,392,1579,6145,265,437,1245,1295,513,562,385,968,430,367,277,1461,582,963,4453,560,432,2056,900,991,1203,400,1277,609,573,325,4669,663,343
63111,482,112,75,50,148,48,168,583,37,54,135,145,61,68,44,106,54,43,38,158,70,105,437,68,54,210,98,108,132,50,140,70,69,41,454,72,42
63112,460,93,61,35,122,32,139,550,22,37,111,118,42,45,31,88,37,31,24,130,48,87,402,45,37,185,80,89,107,33,114,50,48,26,427,56,31
63113,103,29,22,16,41,16,48,137,9,17,39,41,19,20,16,28,17,15,10,45,20,27,97,20,17,55,26,29,39,16,40,20,20,12,98,22,14
63114,334,87,73,44,109,42,122,513,28,46,106,109,51,55,39,85,46,37,30,115,59,84,288,55,46,148,81,85,102,43,108,62,57,33,309,69,36
63119,645,144,102,62,200,60,230,767,41,64,189,195,75,84,59,136,64,57,45,218,88,136,570,84,64,292,125,137,182,61,193,93,87,51,598,99,56
63121,507,109,78,51,144,50,174,598,35,54,133,140,64,68,49,105,54,49,39,158,67,104,455,68,54,213,93,107,131,51,136,68,68,42,481,73,45
63122,657,126,82,50,166,48,197,790,27,55,155,160,62,65,45,118,55,41,30,183,69,118,592,65,55,263,111,120,151,50,158,71,66,36,611,78,40
63910,239,56,40,34,71,32,84,286,18,34,67,71,34,37,32,55,34,26,19,78,37,55,207,37,34,105,51,55,65,33,71,37,37,25,220,40,26
63991,287,73,45,21,88,20,102,350,15,24,80,88,30,36,20,69,23,20,15,98,39,69,258,36,23,121,64,69,80,20,85,39,37,18,272,43,19
63992,206,45,33,22,53,21,64,392,9,23,52,53,25,28,20,44,23,17,9,57,29,44,185,28,23,86,38,44,51,21,53,29,28,12,194,32,14
63999,2640,603,409,241,741,238,886,3347,158,257,700,726,294,321,234,570,254,220,165,801,329,566,2344,320,255,1143,515,576,686,239,715,352,326,190,2448,390,203
